iter	Passed	Remaining
565	3136	2404
566	3139	2397
567	3143	2390
568	3147	2384
569	3150	2376
570	3154	2370
571	3158	2363
572	3162	2356
573	3171	2353
574	3179	2350
575	3188	2347
576	3196	2343
577	3204	2339
578	3211	2335
579	3219	2331
580	3225	2325
581	3231	2320
582	3239	2317
583	3247	2313
584	3252	2307
585	3260	2303
586	3268	2299
587	3274	2294
588	3280	2289
589	3288	2285
590	3293	2279
591	3299	2274
592	3308	2270
593	3312	2264
594	3320	2260
595	3328	2255
596	3335	2251
597	3344	2248
598	3347	2241
599	3355	2237
600	3363	2233
601	3371	2229
602	3376	2222
603	3383	2218
604	3391	2214
605	3395	2207
606	3399	2201
607	3404	2194
608	3411	2190
609	3415	2183
610	3419	2176
611	3427	2172
612	3435	2168
613	3439	2162
614	3447	2158
615	3455	2154
616	3460	2148
617	3468	2144
618	3474	2138
619	3480	2133
620	3489	2129
621	3497	2125
622	3504	2120
623	3508	2114
624	3512	2107
625	3514	2099
626	3517	2092
627	3520	2085
628	3523	2078
629	3526	2071
630	3529	2063
631	3531	2056
632	3534	2049
633	3537	2042
634	3540	2035
635	3543	2027
636	3546	2020
637	3549	2013
638	3552	2006
639	3555	1999
640	3557	1992
641	3560	1985
642	3563	1978
643	3566	1971
644	3569	1964
645	3572	1957
646	3575	1950
647	3578	1943
648	3581	1936
649	3583	1929
650	3587	1923
651	3591	1916
652	3599	1912
653	3604	1906
654	3610	1901
655	3618	1897
656	3626	1893
657	3633	1888
658	3641	1884
659	3647	1878
660	3654	1874
661	3660	1869
662	3668	1864
663	3672	1858
664	3680	1854
665	3691	1851
666	3695	1844
667	3698	1838
668	3704	1833
669	3709	1826
670	3713	1820
671	3717	1814
672	3721	1808
673	3725	1801
674	3728	1795
675	3735	1790
676	3739	1783
677	3743	1778
678	3752	1774
679	3757	1768
680	3760	1761
681	3763	1754
682	3767	1748
683	3769	1741
684	3773	1735
685	3780	1730
686	3783	1723
687	3791	1719
688	3798	1714
689	3801	1707
690	3804	1701
691	3812	1696
692	3815	1690
693	3817	1683
694	3820	1676
695	3823	1669
